forget_cluster,eval_cluster,split,sample_index,layer,log_ppl_ratio
triplet_001,triplet_051,test,49,L3_spillover,0.056175226266892996
triplet_001,triplet_061,test,0,L3_spillover,0.17488657830643647
triplet_001,triplet_061,test,1,L3_spillover,0.059339439786308734
triplet_001,triplet_061,test,2,L3_spillover,0.11615084567617673
triplet_001,triplet_061,test,3,L3_spillover,0.054241829711291364
triplet_001,triplet_061,test,4,L3_spillover,0.02407883322477747
triplet_001,triplet_061,test,5,L3_spillover,0.02369949340539134
triplet_001,triplet_061,test,6,L3_spillover,0.013778702356164475
triplet_001,triplet_061,test,7,L3_spillover,0.17249736115790634
triplet_001,triplet_061,test,8,L3_spillover,0.03434754885842552
triplet_001,triplet_061,test,9,L3_spillover,0.06480846310168849
triplet_001,triplet_061,test,10,L3_spillover,0.016956031379669844
triplet_001,triplet_061,test,11,L3_spillover,0.049696549347170806
triplet_001,triplet_061,test,12,L3_spillover,0.05682088957718806
triplet_001,triplet_061,test,13,L3_spillover,0.03526813883745784
triplet_001,triplet_061,test,14,L3_spillover,0.05622967649867828
triplet_001,triplet_061,test,15,L3_spillover,0.018639868659042703
triplet_001,triplet_061,test,16,L3_spillover,0.06871058496425825
triplet_001,triplet_061,test,17,L3_spillover,0.07847161544149531
triplet_001,triplet_061,test,18,L3_spillover,0.06424226872835366
triplet_001,triplet_061,test,19,L3_spillover,0.12188981760903679
triplet_001,triplet_061,test,20,L3_spillover,0.013356964836063554
triplet_001,triplet_061,test,21,L3_spillover,0.05355906535711025
triplet_001,triplet_061,test,22,L3_spillover,0.024230260296890772
triplet_001,triplet_061,test,23,L3_spillover,0.003889542048662553
triplet_001,triplet_061,test,24,L3_spillover,0.04629717440834401
triplet_001,triplet_061,test,25,L3_spillover,0.08654623906785215
triplet_001,triplet_061,test,26,L3_spillover,0.05777134674298718
triplet_001,triplet_061,test,27,L3_spillover,0.047335742900943056
triplet_001,triplet_061,test,28,L3_spillover,0.02971794921410931
triplet_001,triplet_061,test,29,L3_spillover,0.04898053761925658
triplet_001,triplet_061,test,30,L3_spillover,0.2359537117097498
triplet_001,triplet_061,test,31,L3_spillover,0.020310692847563216
triplet_001,triplet_061,test,32,L3_spillover,0.03598948985031887
